净值日期,累计净值
2012-11-22,1.0
2012-11-23,1.0
2012-11-30,1.0
2012-12-07,1.001
2012-12-14,1.001
2012-12-21,1.002
2012-12-28,1.003
2012-12-31,1.003
2013-01-04,1.003
2013-01-07,1.004
2013-01-08,1.004
2013-01-09,1.005
2013-01-10,1.004
2013-01-11,1.005
2013-01-14,1.005
2013-01-15,1.006
2013-01-16,1.006
2013-01-17,1.006
2013-01-18,1.007
2013-01-21,1.007
2013-01-22,1.008
2013-01-23,1.009
2013-01-24,1.009
2013-01-25,1.009
2013-01-28,1.01
2013-01-29,1.01
2013-01-30,1.01
2013-01-31,1.011
2013-02-01,1.011
2013-02-04,1.011
2013-02-05,1.012
2013-02-06,1.012
2013-02-07,1.012
2013-02-08,1.013
2013-02-18,1.015
2013-02-19,1.015
2013-02-20,1.016
2013-02-21,1.017
2013-02-22,1.018
2013-02-25,1.019
2013-02-26,1.018
2013-02-27,1.018
2013-02-28,1.018
2013-03-01,1.019
2013-03-04,1.02
2013-03-05,1.02
2013-03-06,1.02
2013-03-07,1.021
2013-03-08,1.022
2013-03-11,1.022
2013-03-12,1.022
2013-03-13,1.022
2013-03-14,1.022
2013-03-15,1.022
2013-03-18,1.023
2013-03-19,1.022
2013-03-20,1.021
2013-03-21,1.022
2013-03-22,1.023
2013-03-25,1.023
2013-03-26,1.023
2013-03-27,1.024
2013-03-28,1.024
2013-03-29,1.024
2013-04-01,1.025
2013-04-02,1.026
2013-04-03,1.027
2013-04-08,1.028
2013-04-09,1.029
2013-04-10,1.03
2013-04-11,1.03
2013-04-12,1.031
2013-04-15,1.032
2013-04-16,1.033
2013-04-17,1.033
2013-04-18,1.032
2013-04-19,1.031
2013-04-22,1.03
2013-04-23,1.03
2013-04-24,1.03
2013-04-25,1.031
2013-04-26,1.031
2013-05-02,1.031
2013-05-03,1.032
2013-05-06,1.033
2013-05-07,1.034
2013-05-08,1.034
2013-05-09,1.034
2013-05-10,1.034
2013-05-13,1.035
2013-05-14,1.035
2013-05-15,1.035
2013-05-16,1.035
2013-05-17,1.036
2013-05-20,1.036
2013-05-21,1.035
2013-05-22,1.036
2013-05-23,1.036
2013-05-24,1.036
2013-05-27,1.037
2013-05-28,1.037
2013-05-29,1.038
2013-05-30,1.037
2013-05-31,1.038
2013-06-03,1.038
2013-06-04,1.038
2013-06-05,1.038
2013-06-06,1.038
2013-06-07,1.038
2013-06-13,1.038
2013-06-14,1.038
2013-06-17,1.038
2013-06-18,1.038
2013-06-19,1.037
2013-06-20,1.033
2013-06-21,1.032
2013-06-24,1.031
2013-06-25,1.031
2013-06-26,1.032
2013-06-27,1.033
2013-06-28,1.034
2013-06-30,1.034
2013-07-01,1.034
2013-07-02,1.033
2013-07-03,1.034
2013-07-04,1.035
2013-07-05,1.036
2013-07-08,1.037
2013-07-09,1.037
2013-07-10,1.036
2013-07-11,1.037
2013-07-12,1.037
2013-07-15,1.037
2013-07-16,1.036
2013-07-17,1.035
2013-07-18,1.035
2013-07-19,1.035
2013-07-22,1.034
2013-07-23,1.033
2013-07-24,1.032
2013-07-25,1.033
2013-07-26,1.033
2013-07-29,1.033
2013-07-30,1.033
2013-07-31,1.034
2013-08-01,1.034
2013-08-02,1.035
2013-08-05,1.035
2013-08-06,1.035
2013-08-07,1.035
2013-08-08,1.034
2013-08-09,1.034
2013-08-12,1.034
2013-08-13,1.033
2013-08-14,1.033
2013-08-15,1.032
2013-08-16,1.032
2013-08-19,1.032
2013-08-20,1.031
2013-08-21,1.031
2013-08-22,1.032
2013-08-23,1.032
2013-08-26,1.033
2013-08-27,1.032
2013-08-28,1.033
2013-08-29,1.033
2013-08-30,1.032
2013-09-02,1.033
2013-09-03,1.033
2013-09-04,1.033
2013-09-05,1.033
2013-09-06,1.034
2013-09-09,1.033
2013-09-10,1.034
2013-09-11,1.034
2013-09-12,1.034
2013-09-13,1.034
2013-09-16,1.035
2013-09-17,1.035
2013-09-18,1.035
2013-09-23,1.036
2013-09-24,1.036
2013-09-25,1.036
2013-09-26,1.036
2013-09-27,1.037
2013-09-30,1.037
2013-10-08,1.038
2013-10-09,1.038
2013-10-10,1.038
2013-10-11,1.038
2013-10-14,1.038
2013-10-15,1.039
2013-10-16,1.039
2013-10-17,1.039
2013-10-18,1.039
2013-10-21,1.039
2013-10-22,1.038
2013-10-23,1.039
2013-10-24,1.037
2013-10-25,1.037
2013-10-28,1.036
2013-10-29,1.036
2013-10-30,1.036
2013-10-31,1.036
2013-11-01,1.035
2013-11-04,1.036
2013-11-05,1.036
2013-11-06,1.035
2013-11-07,1.034
2013-11-08,1.033
2013-11-11,1.032
2013-11-12,1.032
2013-11-13,1.03
2013-11-14,1.028
2013-11-15,1.027
2013-11-18,1.025
2013-11-19,1.025
2013-11-20,1.024
2013-11-21,1.022
2013-11-22,1.022
2013-11-25,1.021
2013-11-26,1.021
2013-11-27,1.021
2013-11-28,1.02
2013-11-29,1.021
2013-12-02,1.021
2013-12-03,1.019
2013-12-04,1.019
2013-12-05,1.018
2013-12-06,1.019
2013-12-09,1.016
2013-12-10,1.016
2013-12-11,1.016
2013-12-12,1.015
2013-12-13,1.014
2013-12-16,1.014
2013-12-17,1.013
2013-12-18,1.012
2013-12-19,1.01
2013-12-20,1.01
2013-12-23,1.009
2013-12-24,1.007
2013-12-25,1.006
2013-12-26,1.007
2013-12-27,1.007
2013-12-30,1.006
2013-12-31,1.007
2014-01-02,1.007
2014-01-03,1.007
2014-01-06,1.006
2014-01-07,1.006
2014-01-08,1.005
2014-01-09,1.005
2014-01-10,1.005
2014-01-13,1.005
2014-01-14,1.005
2014-01-15,1.005
2014-01-16,1.005
2014-01-17,1.006
2014-01-20,1.006
2014-01-21,1.005
2014-01-22,1.005
2014-01-23,1.004
2014-01-24,1.004
2014-01-27,1.004
2014-01-28,1.004
2014-01-29,1.001
2014-01-30,1.001
2014-02-07,1.003
2014-02-10,1.007
2014-02-11,1.007
2014-02-12,1.012
2014-02-13,1.01
2014-02-14,1.01
2014-02-17,1.008
2014-02-18,1.012
2014-02-19,1.015
2014-02-20,1.013
2014-02-21,1.014
2014-02-24,1.015
2014-02-25,1.013
2014-02-26,1.016
2014-02-27,1.017
2014-02-28,1.022
2014-03-03,1.023
2014-03-04,1.019
2014-03-05,1.02
2014-03-06,1.019
2014-03-07,1.02
2014-03-10,1.021
2014-03-11,1.022
2014-03-12,1.022
2014-03-13,1.022
2014-03-14,1.023
2014-03-17,1.023
2014-03-18,1.023
2014-03-19,1.023
2014-03-20,1.021
2014-03-21,1.022
2014-03-24,1.023
2014-03-25,1.023
2014-03-26,1.025
2014-03-27,1.024
2014-03-28,1.024
2014-03-31,1.025
2014-04-01,1.026
2014-04-02,1.027
2014-04-03,1.027
2014-04-04,1.027
2014-04-08,1.028
2014-04-09,1.03
2014-04-10,1.03
2014-04-11,1.031
2014-04-14,1.031
2014-04-15,1.032
2014-04-16,1.031
2014-04-17,1.032
2014-04-18,1.032
2014-04-21,1.033
2014-04-22,1.033
2014-04-23,1.033
2014-04-24,1.034
2014-04-25,1.035
2014-04-28,1.035
2014-04-29,1.036
2014-04-30,1.036
2014-05-05,1.037
2014-05-06,1.037
2014-05-07,1.038
2014-05-08,1.039
2014-05-09,1.04
2014-05-12,1.04
2014-05-13,1.04
2014-05-14,1.041
2014-05-15,1.041
2014-05-16,1.041
2014-05-19,1.041
2014-05-20,1.043
2014-05-21,1.043
2014-05-22,1.043
2014-05-23,1.044
2014-05-26,1.045
2014-05-27,1.046
2014-05-28,1.046
2014-05-29,1.047
2014-05-30,1.048
2014-06-03,1.05
2014-06-04,1.051
2014-06-05,1.051
2014-06-06,1.052
2014-06-09,1.052
2014-06-10,1.053
2014-06-11,1.054
2014-06-12,1.054
2014-06-13,1.055
2014-06-16,1.056
2014-06-17,1.055
2014-06-18,1.055
2014-06-19,1.055
2014-06-20,1.056
2014-06-23,1.057
2014-06-24,1.058
2014-06-25,1.059
2014-06-26,1.061
2014-06-27,1.062
2014-06-30,1.063
2014-07-01,1.063
2014-07-02,1.065
2014-07-03,1.064
2014-07-04,1.064
2014-07-07,1.065
2014-07-08,1.065
2014-07-09,1.065
2014-07-10,1.066
2014-07-11,1.067
2014-07-14,1.067
2014-07-15,1.067
2014-07-16,1.068
2014-07-17,1.067
2014-07-18,1.068
2014-07-21,1.068
2014-07-22,1.068
2014-07-23,1.069
2014-07-24,1.069
2014-07-25,1.07
2014-07-28,1.07
2014-07-29,1.071
2014-07-30,1.071
2014-07-31,1.073
2014-08-01,1.073
2014-08-04,1.074
2014-08-05,1.075
2014-08-06,1.076
2014-08-07,1.076
2014-08-08,1.077
2014-08-11,1.077
2014-08-12,1.078
2014-08-13,1.078
2014-08-14,1.079
2014-08-15,1.079
2014-08-18,1.08
2014-08-19,1.081
2014-08-20,1.081
2014-08-21,1.081
2014-08-22,1.081
2014-08-25,1.082
2014-08-26,1.083
2014-08-27,1.083
2014-08-28,1.083
2014-08-29,1.083
2014-09-01,1.084
2014-09-02,1.084
2014-09-03,1.084
2014-09-04,1.084
2014-09-05,1.085
2014-09-09,1.085
2014-09-10,1.084
2014-09-11,1.085
2014-09-12,1.085
2014-09-15,1.085
2014-09-16,1.085
2014-09-17,1.085
2014-09-18,1.085
2014-09-19,1.086
2014-09-22,1.086
2014-09-23,1.087
2014-09-24,1.087
2014-09-25,1.087
2014-09-26,1.088
2014-09-29,1.089
2014-09-30,1.089
2014-10-08,1.09
2014-10-09,1.09
2014-10-10,1.091
2014-10-13,1.092
2014-10-14,1.092
2014-10-15,1.094
2014-10-16,1.094
2014-10-17,1.095
2014-10-20,1.095
2014-10-21,1.094
2014-10-22,1.095
2014-10-23,1.095
2014-10-24,1.096
2014-10-27,1.096
2014-10-28,1.099
2014-10-29,1.1
2014-10-30,1.1
2014-10-31,1.101
2014-11-03,1.103
2014-11-04,1.106
2014-11-05,1.109
2014-11-06,1.11
2014-11-07,1.111
2014-11-10,1.114
2014-11-11,1.116
2014-11-12,1.116
2014-11-13,1.115
2014-11-14,1.114
2014-11-17,1.113
2014-11-18,1.113
2014-11-19,1.112
2014-11-20,1.111
2014-11-21,1.109
2014-11-24,1.11
2014-11-25,1.11
2014-11-26,1.109
2014-11-27,1.109
2014-11-28,1.111
2014-12-01,1.115
2014-12-02,1.115
2014-12-03,1.113
2014-12-04,1.111
2014-12-05,1.108
2014-12-08,1.106
2014-12-09,1.098
2014-12-10,1.096
2014-12-11,1.094
