date,psar
2004-01-09,36.14200177023895
2004-01-12,36.5063212263795
2004-01-13,36.81052797225686
2004-01-14,37.08943304711391
2004-01-15,37.318135208496685
2004-01-16,37.540798664312
2004-01-20,37.630001068115234
2004-01-21,37.90400085449219
2004-01-22,38.0
2004-01-23,39.0
2004-01-26,38.98169998168945
2004-01-27,38.96367446365356
2004-01-28,38.92546418854522
2004-01-29,38.83881830006069
2004-01-30,38.708089192901774
2004-02-02,38.5852038321724
2004-02-03,38.46969159308678
2004-02-04,38.3611100883463
2004-02-05,38.20877696904943
2004-02-06,38.067868833699826
2004-02-09,37.93752880850144
2004-02-10,37.81696428519293
2004-02-11,37.70544210113256
2004-02-12,36.33000183105469
2004-02-13,36.35055181503296
2004-02-17,36.39913529720306
2004-02-18,36.44626127490806
2004-02-19,36.49197347328191
2004-02-20,36.53631430570454
2004-02-23,37.970001220703125
2004-02-24,37.94210121154785
2004-02-25,37.886838129425044
2004-02-26,37.83323293976593
2004-02-27,37.781235905796585
2004-03-01,37.73079878284632
2004-03-02,37.68187477358457
2004-03-03,37.634418484600666
2004-03-04,37.588385884286275
2004-03-05,37.54373426198132
2004-03-08,37.50042218834551
2004-03-09,37.4207531692706
2004-03-10,37.30670800658018
2004-03-11,37.14345498619531
2004-03-12,36.93254396877318
2004-03-15,36.740614942919045
2004-03-16,36.56595952939178
2004-03-17,36.36268389095775
2004-03-18,36.18075219455928
2004-03-19,36.017923326282656
2004-03-22,35.87219148917508
2004-03-23,35.6511283639897
2004-03-24,35.42957580825807
2004-03-25,34.0099983215332
2004-03-26,34.0099983215332
2004-03-29,34.05709842681885
2004-03-30,34.142728956413265
2004-03-31,34.22450611217594
2004-04-01,34.331035745445384
2004-04-02,34.47495806453698
2004-04-05,34.71661182499574
2004-04-06,35.008867583371185
2004-04-07,35.27043648711721
2004-04-08,35.504540655969905
2004-04-12,35.71406388709306
2004-04-13,35.90158717894829
2004-04-14,36.06942052515872
2004-04-15,37.5
2004-04-16,37.47780000686645
2004-04-19,37.42716603412628
2004-04-20,37.37805108056831
2004-04-21,37.299838754476916
2004-04-22,37.22514598305963
2004-04-23,35.63999938964844
2004-04-26,35.66429937362671
2004-04-27,35.71307041988373
2004-04-28,35.760378334753035
2004-04-29,37.290000915527344
2004-04-30,37.26015089035034
2004-05-03,37.18394640026092
2004-05-04,37.11002804487419
2004-05-05,37.03832724014906
2004-05-06,36.96877745956568
2004-05-07,36.9013141723998
2004-05-10,36.8358747838489
2004-05-11,36.72716033617824
2004-05-12,36.623338038652754
2004-05-13,36.48213778379941
2004-05-14,36.34940954423727
2004-05-17,36.224644999048856
2004-05-18,36.06604666989656
2004-05-19,35.919343215430686
2004-05-20,35.78364252004975
2004-05-21,35.65811937682239
2004-05-24,35.54201046933708
2004-05-25,34.11000061035156
2004-05-26,34.13955062866211
2004-05-27,34.201064068603515
2004-05-28,34.304516185516356
2004-06-01,34.439245168609006
2004-06-02,34.5658904127161
2004-06-03,34.7229486203183
2004-06-04,34.86822746235033
2004-06-07,35.002610391229965
2004-06-08,35.19137531869016
2004-06-09,35.401230766032135
2004-06-10,35.5890513914032
2004-06-14,35.75715085111031
2004-06-15,35.90759986754817
2004-06-16,36.04225173726006
2004-06-17,36.1627651606522
2004-06-18,36.25
2004-06-21,37.18999862670898
2004-06-22,37.17304866790771
2004-06-23,36.02000045776367
2004-06-24,36.02000045776367
2004-06-25,36.05990039825439
2004-06-28,36.119754852867125
2004-06-29,36.20376958916092
2004-06-30,36.307736881417945
2004-07-01,36.45104069941943
2004-07-02,36.58144717380078
2004-07-06,37.900001525878906
2004-07-07,37.86895153045654
2004-07-08,37.838367284965514
2004-07-09,37.769716243528364
2004-07-12,37.70312473333433
2004-07-13,37.59228419586529
2004-07-14,37.486431482582354
2004-07-15,37.34024554785105
2004-07-16,37.202830769203615
2004-07-19,37.009118381404704
2004-07-20,36.78059783694156
2004-07-21,36.5726441414801
2004-07-22,36.33821652264641
2004-07-23,36.087630539928846
2004-07-26,35.80985025224353
2004-07-27,35.49337282884792
2004-07-28,35.22436701896165
2004-07-29,34.99571208055832
2004-07-30,33.70000076293945
2004-08-02,33.72100072860718
2004-08-03,33.741685694789886
2004-08-04,33.76206038647985
2004-08-05,35.099998474121094
2004-08-06,35.07749847412109
2004-08-09,35.004973515319826
2004-08-10,34.898999775794984
2004-08-11,34.79779485454876
2004-08-12,34.66292711749947
2004-08-13,34.49095750357837
2004-08-16,34.29827119092722
2004-08-17,34.12292664641467
2004-08-18,33.96336311090825
2004-08-19,33.90999984741211
2004-08-20,32.349998474121094
2004-08-23,32.376848487854005
2004-08-24,32.433643046951296
2004-08-25,32.518079171636586
2004-08-26,32.64299432978566
2004-08-27,32.76041457844578
2004-08-30,32.904383507950534
2004-08-31,33.03755476774243
2004-09-01,33.16073818304993
2004-09-02,33.274682842209366
2004-09-03,33.41916148254089
2004-09-07,33.55063704524258
2004-09-08,33.67027980730112
2004-09-09,33.77915472077439
2004-09-10,33.87823089203507
2004-09-13,34.01596650417583
2004-09-14,34.2204506701591
2004-09-15,34.40039673622439
2004-09-16,34.55874927436184
2004-09-17,34.69809950792279
2004-09-20,34.82072771345643
2004-09-21,34.948879533937905
2004-09-22,35.849998474121094
2004-09-23,35.849998474121094
2004-09-24,35.83529848098755
2004-09-27,35.80273952655792
2004-09-28,35.738716295928
2004-09-29,35.6481932907065
2004-09-30,35.56310166579829
2004-10-01,34.22999954223633
2004-10-04,34.25879957199097
2004-10-05,34.329635552787785
2004-10-06,34.398346454160695
