日期,收盘点位,市值(美元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2023-11-24,4559.34,40385119908065.87,23.9402,0.6764,28.6173,21.4017,17.4724
2023-11-22,4556.62,40361577809996.66,23.9262,0.6752,28.6173,21.4016,17.4724
2023-11-21,4538.19,40197428800452.81,23.8326,0.6667,28.6173,21.4002,17.4724
2023-11-20,4547.38,40279317309832.91,24.0027,0.6803,28.6173,21.3989,17.4724
2023-11-17,4514.02,39985572563182.98,23.8268,0.6664,28.6299,21.3964,17.472
2023-11-16,4508.24,39933712387489.69,23.7973,0.6635,28.6299,21.3939,17.472
2023-11-15,4502.88,39905053352638.2,23.7818,0.6613,28.6299,21.3905,17.472
2023-11-14,4495.7,39956169333947.88,23.8228,0.6657,28.6299,21.3871,17.472
2023-11-13,4411.55,39213199913696.31,23.3813,0.6232,28.6299,21.3864,17.472
2023-11-10,4415.24,39239400335787.62,23.4249,0.6275,28.6401,21.3858,17.4688
2023-11-09,4347.35,38641769922243.6,23.0681,0.5931,28.6401,21.3855,17.4688
2023-11-08,4382.78,38961298644879.98,23.2703,0.6112,28.6401,21.3852,17.4688
2023-11-07,4378.38,38923765127953.53,23.1243,0.5956,28.6401,21.3808,17.4688
2023-11-06,4365.98,38805713709131.86,23.0108,0.5887,28.6401,21.3764,17.4688
2023-11-03,4358.34,38738988877793.47,22.8271,0.5765,28.6529,21.3758,17.4643
2023-11-02,4317.78,38401368061104.45,22.5655,0.562,28.6529,21.3751,17.4643
2023-11-01,4237.86,37702993995695.16,22.1173,0.543,28.6529,21.3734,17.4643
2023-10-31,4193.8,37304715687082.92,22.0414,0.5374,28.6529,21.3717,17.4643
2023-10-30,4166.82,37069326325220.84,21.8242,0.5229,28.6529,21.3675,17.4643
2023-10-27,4117.37,36628190095411.41,21.5229,0.5075,28.6612,21.3634,17.4621
2023-10-26,4137.23,36827387518775,22.0154,0.5353,28.6612,21.3617,17.4621
2023-10-25,4186.77,37288224243746.56,22.5538,0.5603,28.6612,21.36,17.4621
2023-10-24,4247.68,37860222705998.64,23.0224,0.5891,28.6612,21.3596,17.4621
2023-10-23,4217.04,37586159084222.81,22.8052,0.5743,28.6612,21.3592,17.4621
