净值日期,累计净值
2013-09-10,1.0
2013-09-13,1.001
2013-09-18,1.001
2013-09-27,1.002
2013-09-30,1.003
2013-10-11,1.004
2013-10-18,1.004
2013-10-25,1.005
2013-11-01,1.006
2013-11-04,1.006
2013-11-05,1.006
2013-11-06,1.006
2013-11-07,1.007
2013-11-08,1.007
2013-11-11,1.007
2013-11-12,1.007
2013-11-13,1.004
2013-11-14,1.005
2013-11-15,1.005
2013-11-18,1.004
2013-11-19,1.003
2013-11-20,1.003
2013-11-21,1.002
2013-11-22,1.002
2013-11-25,1.002
2013-11-26,1.001
2013-11-27,1.003
2013-11-28,1.005
2013-11-29,1.004
2013-12-02,1.004
2013-12-03,1.002
2013-12-04,1.004
2013-12-05,1.004
2013-12-06,1.004
2013-12-09,1.003
2013-12-10,1.005
2013-12-11,1.005
2013-12-12,1.003
2013-12-13,1.004
2013-12-16,1.004
2013-12-17,1.004
2013-12-18,1.004
2013-12-19,1.003
2013-12-20,1.003
2013-12-23,1.003
2013-12-24,1.003
2013-12-25,1.003
2013-12-26,1.003
2013-12-27,0.999
2013-12-30,0.998
2013-12-31,0.996
2014-01-02,0.995
2014-01-03,0.994
2014-01-06,0.994
2014-01-07,0.992
2014-01-08,0.99
2014-01-09,0.991
2014-01-10,0.992
2014-01-13,0.993
2014-01-14,0.994
2014-01-15,0.994
2014-01-16,0.994
2014-01-17,0.993
2014-01-20,0.99
2014-01-21,0.991
2014-01-22,0.991
2014-01-23,0.989
2014-01-24,0.991
2014-01-27,0.991
2014-01-28,0.991
2014-01-29,0.993
2014-01-30,0.993
2014-02-07,0.993
2014-02-10,0.994
2014-02-11,0.997
2014-02-12,0.998
2014-02-13,0.998
2014-02-14,0.999
2014-02-17,1.0
2014-02-18,1.0
2014-02-19,1.001
2014-02-20,1.001
2014-02-21,1.002
2014-02-24,1.003
2014-02-25,1.006
2014-02-26,1.007
2014-02-27,1.006
2014-02-28,1.008
2014-03-03,1.008
2014-03-04,1.005
2014-03-05,1.004
2014-03-06,1.003
2014-03-07,1.004
2014-03-10,1.004
2014-03-11,1.005
2014-03-12,1.006
2014-03-13,1.006
2014-03-14,1.006
2014-03-17,1.007
2014-03-18,1.007
2014-03-19,1.004
2014-03-20,1.005
2014-03-21,1.005
2014-03-24,1.006
2014-03-25,1.005
2014-03-26,1.005
2014-03-27,1.005
2014-03-28,1.005
2014-03-31,1.004
2014-04-01,1.004
2014-04-02,1.005
2014-04-03,1.004
2014-04-04,1.006
2014-04-08,1.007
2014-04-09,1.0
2014-04-10,1.0
2014-04-11,1.002
2014-04-14,1.007
2014-04-15,1.006
2014-04-16,1.007
2014-04-17,1.007
2014-04-18,1.01
2014-04-21,1.011
2014-04-22,1.012
2014-04-23,1.014
2014-04-24,1.014
2014-04-25,1.015
2014-04-28,1.016
2014-04-29,1.016
2014-04-30,1.017
2014-05-05,1.019
2014-05-06,1.018
2014-05-07,1.018
2014-05-08,1.021
2014-05-09,1.025
2014-05-12,1.026
2014-05-13,1.026
2014-05-14,1.025
2014-05-15,1.025
2014-05-16,1.024
2014-05-19,1.023
2014-05-20,1.024
2014-05-21,1.024
2014-05-22,1.026
2014-05-23,1.027
2014-05-26,1.028
2014-05-27,1.03
2014-05-28,1.031
2014-05-29,1.034
