date,psar
2003-12-29,107.6630005727932
2003-12-30,108.04173516017188
2003-12-31,108.3807026158758
2004-01-02,108.75741789913867
2004-01-05,109.2208168123448
2004-01-06,109.71569378695304
2004-01-07,110.21305486599984
2004-01-08,110.72550455066674
2004-01-09,111.24898187739805
2004-01-12,111.69918550191844
2004-01-13,113.5
2004-01-14,111.76000213623048
2004-01-15,111.76000213623048
2004-01-16,111.82900199890138
2004-01-20,111.94064679908753
2004-01-21,112.10320808269502
2004-01-22,112.34296770537473
2004-01-23,112.61630036469862
2004-01-26,112.86503308468336
2004-01-27,113.18685464283506
2004-01-28,116.5
2004-01-29,116.5
2004-01-30,116.38179992675781
2004-02-02,116.26714585571288
2004-02-03,116.15593140679931
2004-02-04,116.04805339135315
2004-02-05,115.94341171637036
2004-02-06,115.84190929163707
2004-02-09,115.74345193964577
2004-02-10,115.64794830821421
2004-02-11,112.55999755859376
2004-02-12,112.61744758605958
2004-02-13,112.67403586311342
2004-02-17,112.72977531601144
2004-02-18,112.84078206568637
2004-02-19,113.00994680406593
2004-02-20,113.17149912921842
2004-02-23,113.32578159973905
2004-02-24,116.5999984741211
2004-02-25,116.54644847869874
2004-02-26,116.49370173320771
2004-02-27,116.44174618889905
2004-03-01,116.390569977755
2004-03-02,113.02999877929688
2004-03-03,113.08909881591796
2004-03-04,113.14731235198974
2004-03-05,113.20465268502043
2004-03-08,113.26113291305568
2004-03-09,113.31676593767038
2004-03-10,116.97000122070312
2004-03-11,116.90385116577148
2004-03-12,116.72973558502197
2004-03-15,116.56084347169494
2004-03-16,116.30610558413322
2004-03-17,115.97813902935866
2004-03-18,115.66985046787057
2004-03-19,115.38005922007177
2004-03-22,115.1076554471409
2004-03-23,114.65708117416442
2004-03-24,114.24029997166117
2004-03-25,113.75517283688256
2004-03-26,113.31370714423403
2004-03-29,112.91197336392386
2004-03-30,108.8499984741211
2004-03-31,108.91329849243164
2004-04-01,109.04789958343505
2004-04-02,109.26489422577667
2004-04-05,109.59940035250351
2004-04-06,110.03294512007209
2004-04-07,110.43397403007303
2004-04-08,110.8049257718239
2004-04-12,111.21938278194959
2004-04-13,111.59653866116398
2004-04-14,111.93975051124906
2004-04-15,112.25207329482649
2004-04-16,112.36000061035156
2004-04-19,112.36000061035156
2004-04-20,115.41000366210938
2004-04-21,115.35555358886718
2004-04-22,115.30192026672363
2004-04-23,115.24909144441223
2004-04-26,115.1970550544355
2004-04-27,115.14579921030841
2004-04-28,115.12000274658205
2004-04-29,115.12000274658205
2004-04-30,115.00120277404787
2004-05-03,114.81664871788027
2004-05-04,114.64039959424021
2004-05-05,114.47208168116394
2004-05-06,114.31133807417612
2004-05-07,114.15782792950274
2004-05-10,113.90595819880095
2004-05-11,113.49001137966724
2004-05-12,113.10526057196856
2004-05-13,112.65118690076483
2004-05-14,112.23797985996943
2004-05-17,111.86196145284562
2004-05-18,111.51978470236295
2004-05-19,111.20840385942373
2004-05-20,111.18000030517578
2004-05-21,111.18000030517578
2004-05-24,110.89920005798339
2004-05-25,108.05999755859376
2004-05-26,108.11879764556886
2004-05-27,108.24393374366761
2004-05-28,108.45930667027093
2004-06-01,108.6649878151771
2004-06-02,108.86141330856249
2004-06-03,109.13852871146476
2004-06-04,109.3990171901929
2004-06-07,109.71259103825753
2004-06-08,110.1713576250878
2004-06-09,110.66996488219283
2004-06-10,111.11621837730185
2004-06-14,111.51561525542441
2004-06-15,111.8730754613441
2004-06-16,112.19300234564223
2004-06-17,112.47933690708905
2004-06-18,112.73560633958395
2004-06-21,112.9649674816669
2004-06-22,114.91999816894533
2004-06-23,114.88624816894533
2004-06-24,112.66999816894533
2004-06-25,112.70389820098879
2004-06-28,112.77098132820132
2004-06-29,112.83605196159746
2004-06-30,112.89917047599172
2004-07-01,114.94000244140624
2004-07-02,114.90460243225097
2004-07-06,114.86973342323303
2004-07-07,114.77254133813858
2004-07-08,114.67826501559696
2004-07-09,114.521742952566
2004-07-12,114.37226438237143
2004-07-13,114.16992851942913
2004-07-14,113.97973280826339
2004-07-15,113.80094883976759
2004-07-16,113.56837744790319
2004-07-19,113.28682369731847
2004-07-20,112.94065698479582
2004-07-21,112.63083777708806
2004-07-22,112.24913687762655
2004-07-23,112.05999755859376
2004-07-26,111.55449829101563
2004-07-27,111.00265592193604
2004-07-28,110.54186754375458
2004-07-29,108.20999908447266
2004-07-30,108.24989913940429
2004-08-02,108.32940221099852
2004-08-03,108.46577913896941
2004-08-04,108.59601910518161
2004-08-05,111.36000061035156
2004-08-06,111.31365055084228
2004-08-09,111.17284111671448
2004-08-10,111.03625596561051
2004-08-11,110.90376836903965
2004-08-12,110.77525540036592
2004-08-13,110.65059782075241
2004-08-16,110.46787075402364
2004-08-17,110.29336640529765
2004-08-18,106.58999633789062
2004-08-19,106.64369636535645
2004-08-20,106.69659089241028
2004-08-23,106.81459308324051
2004-08-24,106.99258624343267
2004-08-25,107.16256971141618
2004-08-26,107.4090153273152
2004-08-27,107.7015889946611
2004-08-30,108.05514573794922
2004-08-31,108.3768823743414
2004-09-01,108.6696627134583
2004-09-02,108.98154806445825
2004-09-03,109.42776193051233
2004-09-07,109.88571402869444
2004-09-08,110.37235651240296
2004-09-09,110.7860026235552
2004-09-10,111.13760181803463
2004-09-13,111.48944696416487
2004-09-14,111.8945461260937
2004-09-15,112.22672743887534
2004-09-16,112.4991161153563
2004-09-17,112.68000030517578
2004-09-20,113.73999786376952
2004-09-21,113.71809787750243
2004-09-22,113.69652639102935
2004-09-23,113.62973063591957
2004-09-24,113.50914261997409
2004-09-27,113.39398106474616
2004-09-28,113.22514231072466
2004-09-29,113.01400691207851
2004-09-30,112.81870666833083
2004-10-01,110.41000366210938
2004-10-04,110.45860363006592
2004-10-05,110.57804559440613
2004-10-06,110.69390429981614
2004-10-07,110.87327862005732
2004-10-08,111.04458109588765
2004-10-11,111.20817496030561
2004-10-12,111.36440710082476
2004-10-13,114.68000030517578
2004-10-14,114.62960029602051
2004-10-15,114.50811234207154
2004-10-18,114.3308972729454
2004-10-19,114.16165688192996
2004-10-20,114.0000323085102
2004-10-21,113.74503036999958
2004-10-22,113.5053285477996
2004-10-25,113.28000883493164
2004-10-26,112.98525805787085
2004-10-27,109.3499984741211
2004-10-28,109.4062484741211
2004-10-29,109.53086094665528
2004-11-01,109.71577217658998
2004-11-02,109.96322562626801
2004-11-03,110.30873368140973
2004-11-04,110.7633477050145
2004-11-05,111.38354600372723
2004-11-08,112.13432041003777
2004-11-09,112.79500188759106
2004-11-10,113.37640158783795
2004-11-11,113.8880333240552
2004-11-12,114.45934919609633
2004-11-15,115.14044681668187
2004-11-16,115.71937979417959
2004-11-17,116.21147282505265
2004-11-18,116.69467970821096
2004-11-19,117.09815745564813
2004-11-22,119.13999938964844
2004-11-23,119.10834938049317
2004-11-24,119.07717412147522
2004-11-26,119.04646649134254
2004-11-29,119.01621947566186
2004-11-30,119.01000213623048
2004-12-01,117.02999877929688
2004-12-02,117.06704879760743
2004-12-03,117.15113741607666
2004-12-06,117.2856362048874
2004-12-07,117.41408254820165
2004-12-08,117.53674880606675
2004-12-09,117.65389508232794
2004-12-10,117.7300033569336
2004-12-13,117.7300033569336
2004-12-14,117.89020324707032
2004-12-15,118.1204379348755
2004-12-16,118.38949857566834
2004-12-17,118.68880100091897
2004-12-20,118.95667667151828
2004-12-21,119.16000366210938
2004-12-22,119.16999816894533
2004-12-23,119.38734813690186
2004-12-27,119.61446621398926
2004-12-28,119.85011335749817
2004-12-29,120.05394813663338
2004-12-30,120.2558561450202
2004-12-31,120.47268983073786
2005-01-03,121.66000366210938
2005-01-04,121.76000213623048
2005-01-05,121.76000213623048
2005-01-06,121.59080204010012
2005-01-07,121.4292159482956
2005-01-10,121.2749012306223
2005-01-11,121.1275306752443
2005-01-12,120.93927870655581
2005-01-13,120.6828325517941
2005-01-14,120.39637762213263
2005-01-18,120.13570363614069
2005-01-19,119.89849030888803
2005-01-20,119.68262618108811
2005-01-21,119.5199966430664
2005-01-24,119.17559722900391
2005-01-25,118.79684197387697
2005-01-26,118.46921867819215
2005-01-27,118.18582452742478
2005-01-28,117.94068858701101
2005-01-31,116.37000274658205
2005-02-01,116.39820270538331
2005-02-02,116.47865667915346
2005-02-03,116.61866696379663
2005-02-04,116.75237678563086
2005-02-07,116.97303419680355
2005-02-08,117.23905638027327
2005-02-09,117.54604144337777
2005-02-10,117.82539785080287
2005-02-11,118.07961218155971
2005-02-14,118.39045299862632
2005-02-15,118.66865552990092
2005-02-16,119.00001690293391
2005-02-17,119.33211449744164
2005-02-18,119.61937891669082
2005-02-22,121.45999908447266
2005-02-23,121.41679912567139
2005-02-24,121.37424716625213
2005-02-25,118.58000183105467
2005-02-28,118.62635177612303
2005-03-01,118.67200647201537
2005-03-02,118.71697634746931
2005-03-03,118.81336706620051
2005-03-04,118.90686606336978
2005-03-07,119.0834071729156
2005-03-08,119.33340274254067
2005-03-09,119.56839857798823
2005-03-10,119.78929466330894
2005-03-11,119.9969369835104
2005-03-14,120.16000366210938
2005-03-15,123.25
2005-03-16,123.20245002746582
2005-03-17,123.07337657241821
2005-03-18,122.94817532102203
2005-03-21,122.73225750024059
2005-03-22,122.43392217839998
