date,close,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2005/7/27,894.012,,2.27801E+12,5.62859E+11,13.7995,0.4521,14.8281,13.9479,13.1558
2005/7/28,890.885,,2.28345E+12,5.61458E+11,13.8318,0.473,14.8281,13.9199,13.1558
2005/7/29,888.164,,2.27279E+12,5.59631E+11,13.7364,0.4267,14.8281,13.9158,13.1558
2005/8/1,891.607,,2.28326E+12,5.61859E+11,13.7733,0.4474,14.8281,13.9118,13.1558
2005/8/2,903.598,,2.31515E+12,5.69579E+11,14.011,0.5455,14.8281,13.9158,13.1558
2005/8/3,909.57,,2.32288E+12,5.73499E+11,14.0651,0.5897,14.8004,13.9199,13.1561
2005/8/4,904.15,,2.31223E+12,5.70198E+11,14.0039,0.5316,14.8004,13.9479,13.1561
2005/8/5,923.803,,2.35834E+12,5.82318E+11,14.2891,0.725,14.8004,13.976,13.1561
2005/8/8,927.471,,2.37891E+12,5.85652E+11,14.4123,0.7654,14.8004,13.9874,13.1561
2005/8/9,933.089,,2.40232E+12,5.89521E+11,14.5299,0.7683,14.8004,13.9987,13.1561
2005/8/10,940.37,,2.42591E+12,5.94104E+11,14.6554,0.7831,14.6952,14.0013,13.1856
2005/8/11,953.992,,2.4695E+12,6.03185E+11,14.8932,0.8333,14.8004,14.0039,13.1856
2005/8/12,938.316,,2.43124E+12,5.93331E+11,14.6652,0.7765,14.8004,14.0075,13.1856
2005/8/15,954.502,,2.45901E+12,6.048E+11,14.8287,0.814,14.8281,14.011,13.1856
2005/8/16,945.058,,2.42813E+12,5.9877E+11,14.5101,0.7241,14.8281,14.0131,13.1856
2005/8/17,953.012,,2.44686E+12,6.03999E+11,14.6219,0.75,14.8004,14.0151,13.2041
2005/8/18,920.671,,2.35078E+12,5.86184E+11,14.0106,0.4831,14.8004,14.0131,13.2041
2005/8/19,923.038,,2.35882E+12,5.87592E+11,14.0153,0.5111,14.8004,14.0151,13.2041
2005/8/22,931.673,,2.37401E+12,5.93051E+11,14.1199,0.6154,14.8004,14.0152,13.2041
2005/8/23,923.414,,2.36012E+12,5.88323E+11,14.0238,0.5109,14.8004,14.0153,13.2041
2005/8/24,930.651,,2.39179E+12,5.93012E+11,14.1985,0.6452,14.6952,14.0195,13.233
2005/8/25,930.118,,2.39155E+12,5.92761E+11,14.2526,0.6596,14.6952,14.0238,13.233
2005/8/26,928.258,,2.38811E+12,5.91618E+11,14.3525,0.7053,14.6952,14.0246,13.233
2005/8/29,917.371,,2.34819E+12,5.84661E+11,14.1212,0.6042,14.6952,14.0254,13.233
2005/8/30,914.88,,2.33469E+12,5.82989E+11,14.0969,0.567,14.6952,14.039,13.233
2005/8/31,927.916,,2.36305E+12,5.91381E+11,14.3265,0.7041,14.6652,14.0526,13.2943
2005/9/1,944.559,,2.40535E+12,6.02122E+11,14.4234,0.7374,14.6652,14.0588,13.2943
2005/9/2,947.871,,2.41006E+12,6.04278E+11,14.4516,0.74,14.6652,14.0651,13.2943
