净值日期,累计净值
2014-05-16,1.0
2014-05-23,1.0
2014-05-30,1.001
2014-06-06,1.001
2014-06-13,1.002
2014-06-20,1.002
2014-06-23,1.002
2014-06-24,1.003
2014-06-25,1.003
2014-06-26,1.003
2014-06-27,1.004
2014-06-30,1.003
2014-07-01,1.003
2014-07-02,1.002
2014-07-03,1.003
2014-07-04,1.003
2014-07-07,1.004
2014-07-08,1.004
2014-07-09,1.004
2014-07-10,1.003
2014-07-11,1.004
2014-07-14,1.004
2014-07-15,1.004
2014-07-16,1.004
2014-07-17,1.002
2014-07-18,1.002
2014-07-21,1.0
2014-07-22,1.001
2014-07-23,1.001
2014-07-24,1.003
2014-07-25,1.005
2014-07-28,1.007
2014-07-29,1.009
2014-07-30,1.009
2014-07-31,1.012
2014-08-01,1.013
2014-08-04,1.015
2014-08-05,1.014
2014-08-06,1.015
2014-08-07,1.016
2014-08-08,1.018
2014-08-11,1.019
2014-08-12,1.02
2014-08-13,1.023
2014-08-14,1.024
2014-08-15,1.026
2014-08-18,1.026
2014-08-19,1.027
2014-08-20,1.026
2014-08-21,1.027
2014-08-22,1.028
2014-08-25,1.029
2014-08-26,1.03
2014-08-27,1.031
2014-08-28,1.029
2014-08-29,1.032
2014-09-01,1.037
2014-09-02,1.044
2014-09-03,1.045
2014-09-04,1.046
2014-09-05,1.047
2014-09-09,1.046
2014-09-10,1.044
2014-09-11,1.045
2014-09-12,1.046
2014-09-15,1.046
2014-09-16,1.042
2014-09-17,1.044
2014-09-18,1.046
2014-09-19,1.048
2014-09-22,1.047
2014-09-23,1.048
2014-09-24,1.048
2014-09-25,1.051
2014-09-26,1.054
2014-09-29,1.058
2014-09-30,1.062
2014-10-08,1.063
2014-10-09,1.067
2014-10-10,1.068
2014-10-13,1.069
2014-10-14,1.07
2014-10-15,1.077
2014-10-16,1.082
2014-10-17,1.087
2014-10-20,1.087
2014-10-21,1.088
2014-10-22,1.091
2014-10-23,1.091
2014-10-24,1.091
2014-10-27,1.091
2014-10-28,1.093
2014-10-29,1.096
2014-10-30,1.097
2014-10-31,1.097
2014-11-03,1.098
2014-11-04,1.101
2014-11-05,1.103
2014-11-06,1.104
2014-11-07,1.105
2014-11-10,1.106
2014-11-11,1.105
2014-11-12,1.106
2014-11-13,1.102
2014-11-14,1.101
2014-11-17,1.101
2014-11-18,1.101
2014-11-19,1.101
2014-11-20,1.1
2014-11-21,1.099
2014-11-24,1.1
2014-11-25,1.1
2014-11-26,1.101
