净值日期,累计净值
2014-12-15,1.0
2014-12-22,0.9977
2014-12-29,0.9976
2014-12-31,0.9998
2015-01-05,1.0032
2015-01-12,1.0016
2015-01-14,1.0032
2015-01-15,1.0032
2015-01-16,1.0042
2015-01-19,1.0042
2015-01-20,1.005
2015-01-21,1.0048
2015-01-22,1.0053
2015-01-23,1.0052
2015-01-26,1.0064
2015-01-27,1.0065
2015-01-28,1.0059
2015-01-29,1.0064
2015-01-30,1.0063
2015-02-02,1.0065
2015-02-03,1.0063
2015-02-04,1.0065
2015-02-05,1.0073
2015-02-06,1.0073
2015-02-09,1.0081
2015-02-10,1.0077
2015-02-11,1.0079
2015-02-12,1.0086
2015-02-13,1.0092
2015-02-16,1.0096
2015-02-17,1.0105
2015-02-25,1.0118
2015-02-26,1.0114
2015-02-27,1.0137
2015-03-02,1.0142
2015-03-03,1.0145
2015-03-04,1.0166
2015-03-05,1.0164
2015-03-06,1.0162
2015-03-09,1.0169
2015-03-10,1.0175
2015-03-11,1.0179
2015-03-12,1.0184
2015-03-13,1.0194
2015-03-16,1.0214
2015-03-17,1.0221
2015-03-18,1.0224
2015-03-19,1.0215
2015-03-20,1.0218
2015-03-23,1.0221
2015-03-24,1.0222
2015-03-25,1.0211
2015-03-26,1.0211
2015-03-27,1.0219
2015-03-30,1.0235
2015-03-31,1.0229
2015-04-01,1.0226
2015-04-02,1.0233
2015-04-03,1.0232
2015-04-07,1.0235
2015-04-08,1.0232
2015-04-09,1.0236
2015-04-10,1.0241
2015-04-13,1.0255
2015-04-14,1.0259
2015-04-15,1.0267
2015-04-16,1.0277
2015-04-17,1.028
2015-04-20,1.0305
2015-04-21,1.0317
2015-04-22,1.0325
2015-04-23,1.0335
2015-04-24,1.0334
2015-04-27,1.0342
2015-04-28,1.0349
2015-04-29,1.0356
2015-04-30,1.036
2015-05-04,1.0364
2015-05-05,1.0372
2015-05-06,1.0377
2015-05-07,1.0389
2015-05-08,1.0399
2015-05-11,1.0406
2015-05-12,1.0406
2015-05-13,1.0416
2015-05-14,1.0438
2015-05-15,1.0445
2015-05-18,1.0462
2015-05-19,1.0465
2015-05-20,1.0469
2015-05-21,1.0476
2015-05-22,1.0479
2015-05-25,1.0485
2015-05-26,1.0482
2015-05-27,1.0476
2015-05-28,1.0471
2015-05-29,1.0467
2015-06-01,1.0475
2015-06-02,1.0483
2015-06-03,1.0485
2015-06-04,1.049
2015-06-05,1.0495
2015-06-08,1.0495
2015-06-09,1.0495
2015-06-10,1.0494
2015-06-11,1.0492
2015-06-12,1.0492
2015-06-15,1.0491
2015-06-16,1.049
2015-06-17,1.0492
2015-06-18,1.0492
2015-06-19,1.0494
2015-06-23,1.0505
2015-06-24,1.0505
2015-06-25,1.0507
2015-06-26,1.0511
2015-06-29,1.0519
2015-06-30,1.0521
2015-07-01,1.0523
2015-07-02,1.0524
2015-07-03,1.0524
2015-07-06,1.0542
2015-07-07,1.0561
2015-07-08,1.0565
2015-07-09,1.0564
2015-07-10,1.0568
2015-07-13,1.0569
2015-07-14,1.0572
2015-07-15,1.0576
2015-07-16,1.0578
2015-07-17,1.0582
2015-07-20,1.0589
2015-07-21,1.0593
2015-07-22,1.0599
2015-07-23,1.0607
2015-07-24,1.0617
2015-07-27,1.0621
2015-07-28,1.0625
2015-07-29,1.063
2015-07-30,1.0629
2015-07-31,1.0627
2015-08-03,1.0631
2015-08-04,1.0635
2015-08-05,1.064
2015-08-06,1.0646
2015-08-07,1.0651
2015-08-10,1.0654
2015-08-11,1.0651
2015-08-12,1.065
2015-08-13,1.0651
2015-08-14,1.0654
2015-08-17,1.0658
2015-08-18,1.066
2015-08-19,1.0661
2015-08-20,1.0662
2015-08-21,1.0668
2015-08-24,1.0672
2015-08-25,1.067
2015-08-26,1.0674
2015-08-27,1.0674
2015-08-28,1.0674
2015-08-31,1.068
2015-09-01,1.0681
2015-09-02,1.0684
2015-09-07,1.0689
2015-09-08,1.0692
2015-09-09,1.0694
2015-09-10,1.0697
2015-09-11,1.07
2015-09-14,1.0704
2015-09-15,1.0703
2015-09-16,1.0705
2015-09-17,1.0708
2015-09-18,1.071
2015-09-21,1.0713
2015-09-22,1.071
2015-09-23,1.071
2015-09-24,1.0709
2015-09-25,1.071
2015-09-28,1.0714
2015-09-29,1.0716
2015-09-30,1.0717
2015-10-08,1.0724
2015-10-09,1.0724
2015-10-12,1.0733
2015-10-13,1.0737
2015-10-14,1.0743
2015-10-15,1.0744
2015-10-16,1.0754
2015-10-19,1.0758
2015-10-20,1.0764
2015-10-21,1.0768
2015-10-22,1.0769
2015-10-23,1.0774
2015-10-26,1.0787
2015-10-27,1.0795
2015-10-28,1.0801
2015-10-29,1.08
2015-10-30,1.0801
2015-11-02,1.0797
2015-11-03,1.0792
2015-11-04,1.0788
2015-11-05,1.0788
2015-11-06,1.079
2015-11-09,1.0783
2015-11-10,1.0778
2015-11-11,1.0778
2015-11-12,1.0779
2015-11-13,1.0779
2015-11-16,1.0782
2015-11-17,1.0783
2015-11-18,1.0783
2015-11-19,1.0778
2015-11-20,1.0781
2015-11-23,1.0782
2015-11-24,1.0785
2015-11-25,1.0791
2015-11-26,1.079
2015-11-27,1.079
2015-11-30,1.0794
2015-12-01,1.0796
2015-12-02,1.0802
2015-12-03,1.0808
2015-12-04,1.0816
2015-12-07,1.0824
2015-12-08,1.0828
2015-12-09,1.0833
2015-12-10,1.0835
2015-12-11,1.0838
2015-12-14,1.0846
2015-12-15,1.0849
2015-12-16,1.0857
2015-12-17,1.0861
2015-12-18,1.0867
2015-12-21,1.0879
2015-12-22,1.0888
2015-12-23,1.089
2015-12-24,1.0911
2015-12-25,1.0916
2015-12-28,1.0931
2015-12-29,1.0938
2015-12-30,1.0936
2015-12-31,1.0938
2016-01-04,1.0932
2016-01-05,1.0928
2016-01-06,1.0946
2016-01-07,1.0964
2016-01-08,1.0978
2016-01-11,1.1015
2016-01-12,1.1037
2016-01-13,1.1058
2016-01-14,1.1063
2016-01-15,1.1068
2016-01-18,1.1069
2016-01-19,1.1071
2016-01-20,1.1063
2016-01-21,1.1073
2016-01-22,1.1061
2016-01-25,1.1083
2016-01-26,1.1078
2016-01-27,1.1071
2016-01-28,1.1068
2016-01-29,1.1071
2016-02-01,1.107
2016-02-02,1.1073
2016-02-03,1.107
2016-02-04,1.1072
2016-02-05,1.1075
2016-02-15,1.1092
2016-02-16,1.1095
2016-02-17,1.1098
2016-02-18,1.1097
2016-02-19,1.1106
2016-02-22,1.1108
2016-02-23,1.1121
2016-02-24,1.1142
2016-02-25,1.1142
2016-02-26,1.1149
2016-02-29,1.1161
2016-03-01,1.1174
2016-03-02,1.1185
2016-03-03,1.1187
2016-03-04,1.1189
2016-03-07,1.1205
2016-03-08,1.1222
2016-03-09,1.1234
2016-03-10,1.1245
2016-03-11,1.1251
2016-03-14,1.1265
2016-03-15,1.1278
2016-03-16,1.1288
2016-03-17,1.1299
