净值日期,累计净值
2010-11-02,1.0
2010-11-05,1.0005
2010-11-12,0.9801
2010-11-19,0.9712
2010-11-26,0.9687
2010-12-03,0.9663
2010-12-10,0.9667
2010-12-17,0.9731
2010-12-24,0.9709
2010-12-31,0.962
2011-01-07,0.9722
2011-01-10,0.9638
2011-01-11,0.9691
2011-01-12,0.9736
2011-01-13,0.973
2011-01-14,0.9637
2011-01-17,0.9409
2011-01-18,0.9424
2011-01-19,0.9544
2011-01-20,0.9324
2011-01-21,0.9432
2011-01-24,0.9374
2011-01-25,0.9355
2011-01-26,0.9441
2011-01-27,0.9532
2011-01-28,0.954
2011-01-31,0.9603
2011-02-01,0.9603
2011-02-09,0.9505
2011-02-10,0.966
2011-02-11,0.9693
2011-02-14,0.9918
2011-02-15,0.9893
2011-02-16,0.9957
2011-02-17,0.9934
2011-02-18,0.9864
2011-02-21,0.9954
2011-02-22,0.9724
2011-02-23,0.9759
2011-02-24,0.9798
2011-02-25,0.9808
2011-02-28,0.9896
2011-03-01,0.9953
2011-03-02,0.9939
2011-03-03,0.9927
2011-03-04,1.0055
2011-03-07,1.0276
2011-03-08,1.0266
2011-03-09,1.0263
2011-03-10,1.0117
2011-03-11,1.003
2011-03-14,1.0083
2011-03-15,0.9891
2011-03-16,1.0003
2011-03-17,0.9863
2011-03-18,0.989
2011-03-21,0.9872
2011-03-22,0.9925
2011-03-23,1.0023
2011-03-24,0.9983
2011-03-25,1.0101
2011-03-28,1.0093
2011-03-29,1.0034
2011-03-30,1.0008
2011-03-31,0.9907
2011-04-01,1.0074
2011-04-06,1.0196
2011-04-07,1.0233
2011-04-08,1.0312
2011-04-11,1.0279
2011-04-12,1.0267
2011-04-13,1.0404
2011-04-14,1.036
2011-04-15,1.0377
2011-04-18,1.0393
2011-04-19,1.0206
2011-04-20,1.0184
2011-04-21,1.0236
2011-04-22,1.018
2011-04-25,1.0024
2011-04-26,1.0011
2011-04-27,0.9984
2011-04-28,0.9889
2011-04-29,0.9962
2011-05-03,1.002
2011-05-04,0.9779
2011-05-05,0.9762
2011-05-06,0.9728
2011-05-09,0.9738
2011-05-10,0.9824
2011-05-11,0.9794
2011-05-12,0.967
2011-05-13,0.9758
2011-05-16,0.9665
2011-05-17,0.9717
2011-05-18,0.9792
2011-05-19,0.9735
2011-05-20,0.9732
2011-05-23,0.9442
2011-05-24,0.944
2011-05-25,0.9333
2011-05-26,0.9307
2011-05-27,0.9288
