date,net_value
2013-04-24,1.0
2013-04-26,1.0
2013-05-03,1.001
2013-05-10,1.001
2013-05-17,1.001
2013-05-24,1.002
2013-05-31,1.004
2013-06-05,1.004
2013-06-06,1.004
2013-06-07,1.003
2013-06-13,1.004
2013-06-14,1.003
2013-06-17,1.003
2013-06-18,1.003
2013-06-19,1.003
2013-06-20,1.001
2013-06-21,1.001
2013-06-24,1.0
2013-06-25,1.0
2013-06-26,1.002
2013-06-27,1.003
2013-06-28,1.003
2013-06-30,1.004
2013-07-01,1.004
2013-07-02,1.005
2013-07-03,1.006
2013-07-04,1.006
2013-07-05,1.006
2013-07-08,1.007
2013-07-09,1.007
2013-07-10,1.006
2013-07-11,1.005
2013-07-12,1.004
2013-07-15,1.004
2013-07-16,1.003
2013-07-17,1.002
2013-07-18,1.001
2013-07-19,0.999
2013-07-22,0.998
2013-07-23,0.997
2013-07-24,0.995
2013-07-25,0.997
2013-07-26,0.998
2013-07-29,0.998
2013-07-30,0.998
2013-07-31,0.998
2013-08-01,1.0
2013-08-02,1.001
2013-08-05,1.001
2013-08-06,1.001
2013-08-07,1.0
2013-08-08,0.998
2013-08-09,0.997
2013-08-12,0.997
2013-08-13,0.994
2013-08-14,0.992
2013-08-15,0.99
2013-08-16,0.989
2013-08-19,0.988
2013-08-20,0.986
2013-08-21,0.986
2013-08-22,0.986
2013-08-23,0.988
2013-08-26,0.989
2013-08-27,0.99
2013-08-28,0.989
2013-08-29,0.989
2013-08-30,0.989
2013-09-02,0.99
2013-09-03,0.989
2013-09-04,0.989
2013-09-05,0.989
2013-09-06,0.989
2013-09-09,0.989
2013-09-10,0.99
2013-09-11,0.989
2013-09-12,0.989
2013-09-13,0.988
2013-09-16,0.988
2013-09-17,0.989
2013-09-18,0.989
2013-09-23,0.991
2013-09-24,0.99
2013-09-25,0.99
2013-09-26,0.991
2013-09-27,0.991
2013-09-30,0.991
2013-10-08,0.993
2013-10-09,0.992
2013-10-10,0.992
2013-10-11,0.992
2013-10-14,0.992
2013-10-15,0.992
2013-10-16,0.991
2013-10-17,0.99
2013-10-18,0.991
2013-10-21,0.991
2013-10-22,0.99
2013-10-23,0.99
2013-10-24,0.986
2013-10-25,0.985
2013-10-28,0.985
2013-10-29,0.985
2013-10-30,0.983
2013-10-31,0.983
2013-11-01,0.984
2013-11-04,0.984
2013-11-05,0.984
2013-11-06,0.984
2013-11-07,0.984
2013-11-08,0.984
2013-11-11,0.982
2013-11-12,0.983
2013-11-13,0.982
2013-11-14,0.98
2013-11-15,0.979
2013-11-18,0.979
2013-11-19,0.977
2013-11-20,0.974
2013-11-21,0.973
2013-11-22,0.971
2013-11-25,0.969
2013-11-26,0.965
2013-11-27,0.965
2013-11-28,0.964
2013-11-29,0.965
2013-12-02,0.965
2013-12-03,0.965
2013-12-04,0.965
2013-12-05,0.965
2013-12-06,0.962
2013-12-09,0.961
2013-12-10,0.962
2013-12-11,0.965
2013-12-12,0.964
2013-12-13,0.964
2013-12-16,0.964
2013-12-17,0.964
2013-12-18,0.963
2013-12-19,0.962
2013-12-20,0.961
2013-12-23,0.959
2013-12-24,0.96
2013-12-25,0.96
2013-12-26,0.96
2013-12-27,0.96
2013-12-30,0.959
2013-12-31,0.958
2014-01-02,0.958
2014-01-03,0.957
2014-01-06,0.958
2014-01-07,0.957
2014-01-08,0.957
2014-01-09,0.957
2014-01-10,0.958
2014-01-13,0.959
2014-01-14,0.961
2014-01-15,0.961
2014-01-16,0.962
2014-01-17,0.962
2014-01-20,0.962
2014-01-21,0.963
2014-01-22,0.964
2014-01-23,0.964
2014-01-24,0.964
2014-01-27,0.965
2014-01-28,0.965
2014-01-29,0.966
2014-01-30,0.966
2014-02-07,0.967
2014-02-10,0.968
2014-02-11,0.968
2014-02-12,0.969
2014-02-13,0.969
2014-02-14,0.97
2014-02-17,0.972
2014-02-18,0.972
2014-02-19,0.973
2014-02-20,0.974
2014-02-21,0.975
2014-02-24,0.976
2014-02-25,0.979
2014-02-26,0.98
2014-02-27,0.983
2014-02-28,0.984
2014-03-03,0.984
2014-03-04,0.982
2014-03-05,0.981
2014-03-06,0.981
2014-03-07,0.982
2014-03-10,0.982
2014-03-11,0.983
2014-03-12,0.983
2014-03-13,0.984
2014-03-14,0.985
2014-03-17,0.985
2014-03-18,0.985
2014-03-19,0.984
2014-03-20,0.984
2014-03-21,0.984
2014-03-24,0.984
2014-03-25,0.984
2014-03-26,0.984
2014-03-27,0.984
2014-03-28,0.985
2014-03-31,0.984
2014-04-01,0.984
2014-04-02,0.984
2014-04-03,0.983
2014-04-04,0.985
2014-04-08,0.986
2014-04-09,0.981
2014-04-10,0.981
2014-04-11,0.983
2014-04-14,0.987
2014-04-15,0.988
2014-04-16,0.988
2014-04-17,0.99
2014-04-18,0.991
2014-04-21,0.991
2014-04-22,0.992
2014-04-23,0.992
2014-04-24,0.992
2014-04-25,0.992
2014-04-28,0.993
2014-04-29,0.993
2014-04-30,0.994
2014-05-05,0.996
2014-05-06,0.997
2014-05-07,0.998
2014-05-08,1.0
2014-05-09,1.003
2014-05-12,1.003
2014-05-13,1.003
2014-05-14,1.002
2014-05-15,1.002
2014-05-16,1.002
2014-05-19,1.003
2014-05-20,1.003
2014-05-21,1.004
2014-05-22,1.004
2014-05-23,1.005
2014-05-26,1.005
2014-05-27,1.006
2014-05-28,1.006
2014-05-29,1.008
2014-05-30,1.009
2014-06-03,1.011
2014-06-04,1.012
2014-06-05,1.013
2014-06-06,1.013
2014-06-09,1.014
2014-06-10,1.015
2014-06-11,1.016
2014-06-12,1.016
2014-06-13,1.017
2014-06-16,1.017
2014-06-17,1.018
2014-06-18,1.018
2014-06-19,1.018
2014-06-20,1.019
2014-06-23,1.02
2014-06-24,1.02
2014-06-25,1.02
2014-06-26,1.021
2014-06-27,1.022
2014-06-30,1.022
2014-07-01,1.022
2014-07-02,1.023
2014-07-03,1.024
2014-07-04,1.023
2014-07-07,1.024
2014-07-08,1.023
2014-07-09,1.024
2014-07-10,1.024
2014-07-11,1.024
2014-07-14,1.024
2014-07-15,1.024
2014-07-16,1.024
2014-07-17,1.022
2014-07-18,1.022
2014-07-21,1.023
2014-07-22,1.022
2014-07-23,1.023
2014-07-24,1.024
2014-07-25,1.024
2014-07-28,1.025
2014-07-29,1.026
2014-07-30,1.026
2014-07-31,1.026
2014-08-01,1.026
2014-08-04,1.027
2014-08-05,1.027
2014-08-06,1.025
2014-08-07,1.025
2014-08-08,1.026
2014-08-11,1.027
2014-08-12,1.027
2014-08-13,1.028
2014-08-14,1.028
2014-08-15,1.029
2014-08-18,1.028
2014-08-19,1.028
2014-08-20,1.028
2014-08-21,1.028
2014-08-22,1.029
2014-08-25,1.03
2014-08-26,1.03
2014-08-27,1.029
2014-08-28,1.03
2014-08-29,1.029
2014-09-01,1.03
2014-09-02,1.03
2014-09-03,1.029
2014-09-04,1.031
2014-09-05,1.031
2014-09-09,1.032
2014-09-10,1.033
2014-09-11,1.033
2014-09-12,1.033
2014-09-15,1.034
2014-09-16,1.034
2014-09-17,1.036
2014-09-18,1.037
2014-09-19,1.039
2014-09-22,1.04
2014-09-23,1.041
2014-09-24,1.04
2014-09-25,1.04
2014-09-26,1.04
2014-09-29,1.04
2014-09-30,1.041
2014-10-08,1.042
2014-10-09,1.042
2014-10-10,1.042
2014-10-13,1.043
2014-10-14,1.046
2014-10-15,1.048
2014-10-16,1.05
